Feature,Importance
alcohol,0.2763469036968017
volatile acidity,0.15834270623594693
free sulfur dioxide,0.16005874861593938
citric acid,0.12588461996832018
chlorides,0.13007900290488733
total sulfur dioxide,0.14928801857810464
