,Model Name,Train Accuracy,Test Accuracy
0,Decision Tree,1.0,0.7264030612244898
1,Random Forest,1.0,0.8016581632653061
2,AdaBoost,0.7782941498086386,0.7684948979591837
3,ExtraTree,1.0,0.8086734693877551
4,GradientBoosting,0.8089119737561509,0.7914540816326531
5,XGBOOST,0.9803171131765992,0.8010204081632653
