,Model Name,Train Accuracy,Test Accuracy
0,Decision Tree,1.0,0.7276785714285714
1,Random Forest,1.0,0.8156887755102041
2,AdaBoost,0.7862219792236195,0.7684948979591837
3,ExtraTree,1.0,0.8169642857142857
4,GradientBoosting,0.8288682340076544,0.7965561224489796
5,XGBOOST,0.9986331328594861,0.8258928571428571
