Feature,Importance
fixed acidity,0.02779007206795791
volatile acidity,0.1655755237011001
citric acid,0.049292704113676394
residual sugar,0.030013427230483006
chlorides,0.040438489771116
free sulfur dioxide,0.1577761931515307
total sulfur dioxide,0.040099741489498915
density,0.024241067773319483
pH,0.022412728914977635
sulphates,0.029518501661835422
alcohol,0.41284155012450435
